,NAME,Total Population,"Not Hispanic, White","Not Hispanic, Black","Not Hispanic, American Indian","Not Hispanic, Asian","Not Hispanic, Native Hawaiian","Not Hispanic, Other","Not Hispanic, Two or More Races",Hispanic,Median HH Income,state,county,tract
39,"Census Tract 74, Philadelphia County, Pennsylvania",4506.0,428.0,3223.0,0.0,94.0,0.0,0.0,689.0,72.0,33424.0,42,101,007400
40,"Census Tract 77, Philadelphia County, Pennsylvania",1946.0,938.0,325.0,0.0,365.0,0.0,0.0,151.0,167.0,50625.0,42,101,007700
41,"Census Tract 78, Philadelphia County, Pennsylvania",4066.0,2257.0,716.0,0.0,582.0,60.0,0.0,55.0,396.0,49526.0,42,101,007800
42,"Census Tract 79, Philadelphia County, Pennsylvania",4044.0,2255.0,988.0,0.0,285.0,39.0,0.0,241.0,236.0,66667.0,42,101,007900
43,"Census Tract 80, Philadelphia County, Pennsylvania",3900.0,830.0,2703.0,0.0,69.0,0.0,0.0,167.0,131.0,60163.0,42,101,008000
44,"Census Tract 81.01, Philadelphia County, Pennsylvania",3258.0,283.0,2966.0,0.0,0.0,0.0,0.0,0.0,9.0,41537.0,42,101,008101
45,"Census Tract 81.02, Philadelphia County, Pennsylvania",4786.0,300.0,3878.0,0.0,0.0,0.0,0.0,439.0,169.0,39157.0,42,101,008102
46,"Census Tract 82, Philadelphia County, Pennsylvania",6202.0,61.0,5771.0,0.0,0.0,0.0,0.0,54.0,316.0,30182.0,42,101,008200
47,"Census Tract 83.01, Philadelphia County, Pennsylvania",4751.0,98.0,4253.0,7.0,0.0,0.0,0.0,61.0,332.0,33478.0,42,101,008301
48,"Census Tract 83.02, Philadelphia County, Pennsylvania",4586.0,21.0,4369.0,53.0,0.0,0.0,0.0,57.0,86.0,24497.0,42,101,008302
49,"Census Tract 84, Philadelphia County, Pennsylvania",4864.0,66.0,4221.0,0.0,44.0,0.0,0.0,489.0,44.0,43839.0,42,101,008400
50,"Census Tract 85, Philadelphia County, Pennsylvania",6272.0,671.0,4984.0,157.0,116.0,0.0,0.0,125.0,219.0,38610.0,42,101,008500
51,"Census Tract 86.01, Philadelphia County, Pennsylvania",3355.0,1713.0,684.0,0.0,311.0,0.0,47.0,183.0,417.0,52019.0,42,101,008601
52,"Census Tract 86.02, Philadelphia County, Pennsylvania",3126.0,815.0,1781.0,0.0,295.0,0.0,0.0,154.0,81.0,31776.0,42,101,008602
53,"Census Tract 87.01, Philadelphia County, Pennsylvania",3318.0,1676.0,403.0,69.0,788.0,0.0,14.0,137.0,231.0,50197.0,42,101,008701
54,"Census Tract 87.02, Philadelphia County, Pennsylvania",2601.0,1329.0,286.0,0.0,587.0,0.0,73.0,68.0,258.0,31172.0,42,101,008702
55,"Census Tract 88.01, Philadelphia County, Pennsylvania",2073.0,916.0,240.0,7.0,502.0,0.0,0.0,131.0,277.0,41250.0,42,101,008801
56,"Census Tract 88.02, Philadelphia County, Pennsylvania",5956.0,2450.0,1580.0,0.0,1274.0,0.0,0.0,94.0,558.0,17403.0,42,101,008802
57,"Census Tract 90, Philadelphia County, Pennsylvania",6405.0,3745.0,875.0,0.0,1150.0,0.0,11.0,175.0,449.0,32566.0,42,101,009000
58,"Census Tract 91, Philadelphia County, Pennsylvania",2722.0,703.0,957.0,0.0,778.0,0.0,37.0,102.0,145.0,25741.0,42,101,009100
59,"Census Tract 92, Philadelphia County, Pennsylvania",3640.0,527.0,2458.0,0.0,321.0,0.0,18.0,172.0,144.0,31860.0,42,101,009200
60,"Census Tract 93, Philadelphia County, Pennsylvania",4890.0,236.0,4282.0,0.0,212.0,0.0,0.0,8.0,152.0,27339.0,42,101,009300
61,"Census Tract 94, Philadelphia County, Pennsylvania",3926.0,56.0,3633.0,0.0,0.0,0.0,0.0,132.0,105.0,21714.0,42,101,009400
62,"Census Tract 95, Philadelphia County, Pennsylvania",2996.0,68.0,2921.0,0.0,0.0,0.0,7.0,0.0,0.0,28192.0,42,101,009500
63,"Census Tract 96, Philadelphia County, Pennsylvania",4118.0,0.0,3410.0,15.0,0.0,0.0,0.0,24.0,669.0,43140.0,42,101,009600
64,"Census Tract 98.01, Philadelphia County, Pennsylvania",2372.0,164.0,2125.0,0.0,27.0,0.0,0.0,0.0,56.0,64361.0,42,101,009801
65,"Census Tract 98.02, Philadelphia County, Pennsylvania",5660.0,448.0,4944.0,0.0,34.0,0.0,0.0,89.0,145.0,63403.0,42,101,009802
66,"Census Tract 100, Philadelphia County, Pennsylvania",4972.0,268.0,4523.0,0.0,67.0,0.0,0.0,71.0,43.0,52083.0,42,101,010000
67,"Census Tract 101, Philadelphia County, Pennsylvania",6332.0,115.0,6133.0,0.0,0.0,0.0,0.0,65.0,19.0,39702.0,42,101,010100
68,"Census Tract 102, Philadelphia County, Pennsylvania",3404.0,16.0,3132.0,0.0,0.0,0.0,16.0,18.0,222.0,24851.0,42,101,010200
69,"Census Tract 103, Philadelphia County, Pennsylvania",2698.0,25.0,2642.0,0.0,0.0,0.0,0.0,0.0,31.0,30405.0,42,101,010300
70,"Census Tract 104, Philadelphia County, Pennsylvania",3905.0,126.0,2995.0,0.0,0.0,0.0,650.0,57.0,77.0,-666666666.0,42,101,010400
71,"Census Tract 105, Philadelphia County, Pennsylvania",4445.0,285.0,3699.0,24.0,85.0,0.0,15.0,28.0,309.0,22175.0,42,101,010500
72,"Census Tract 106, Philadelphia County, Pennsylvania",1668.0,101.0,1368.0,0.0,100.0,0.0,0.0,54.0,45.0,14514.0,42,101,010600
73,"Census Tract 107, Philadelphia County, Pennsylvania",3821.0,198.0,3497.0,0.0,0.0,0.0,20.0,25.0,81.0,36016.0,42,101,010700
74,"Census Tract 108, Philadelphia County, Pennsylvania",4178.0,314.0,3163.0,41.0,159.0,0.0,0.0,328.0,173.0,26078.0,42,101,010800
75,"Census Tract 109, Philadelphia County, Pennsylvania",2749.0,318.0,2255.0,12.0,92.0,0.0,0.0,21.0,51.0,29656.0,42,101,010900
76,"Census Tract 110, Philadelphia County, Pennsylvania",3346.0,215.0,2674.0,0.0,32.0,0.0,139.0,166.0,120.0,14055.0,42,101,011000
77,"Census Tract 111, Philadelphia County, Pennsylvania",3791.0,117.0,3491.0,0.0,3.0,0.0,0.0,144.0,36.0,41202.0,42,101,011100
78,"Census Tract 112, Philadelphia County, Pennsylvania",5949.0,25.0,5562.0,0.0,0.0,0.0,0.0,63.0,299.0,25565.0,42,101,011200
79,"Census Tract 113, Philadelphia County, Pennsylvania",3387.0,90.0,3248.0,0.0,0.0,0.0,0.0,0.0,49.0,37808.0,42,101,011300
80,"Census Tract 114, Philadelphia County, Pennsylvania",6907.0,124.0,6639.0,0.0,13.0,0.0,0.0,66.0,65.0,33468.0,42,101,011400
81,"Census Tract 115, Philadelphia County, Pennsylvania",4358.0,287.0,3757.0,22.0,0.0,0.0,35.0,192.0,65.0,63719.0,42,101,011500
82,"Census Tract 117, Philadelphia County, Pennsylvania",1956.0,838.0,731.0,0.0,293.0,0.0,0.0,56.0,38.0,77500.0,42,101,011700
83,"Census Tract 118, Philadelphia County, Pennsylvania",5565.0,81.0,5220.0,0.0,69.0,0.0,0.0,91.0,104.0,35609.0,42,101,011800
84,"Census Tract 119, Philadelphia County, Pennsylvania",5213.0,229.0,4758.0,0.0,0.0,0.0,39.0,143.0,44.0,41345.0,42,101,011900
85,"Census Tract 120, Philadelphia County, Pennsylvania",2132.0,594.0,1098.0,0.0,222.0,0.0,11.0,126.0,81.0,76190.0,42,101,012000
86,"Census Tract 122.01, Philadelphia County, Pennsylvania",2765.0,687.0,1444.0,0.0,411.0,0.0,0.0,143.0,80.0,32625.0,42,101,012201
87,"Census Tract 122.03, Philadelphia County, Pennsylvania",791.0,154.0,142.0,0.0,272.0,27.0,0.0,114.0,82.0,52209.0,42,101,012203
88,"Census Tract 122.04, Philadelphia County, Pennsylvania",3873.0,619.0,2791.0,22.0,198.0,0.0,0.0,82.0,161.0,56495.0,42,101,012204
89,"Census Tract 125.01, Philadelphia County, Pennsylvania",2182.0,1442.0,206.0,0.0,364.0,0.0,0.0,77.0,93.0,66566.0,42,101,012501
90,"Census Tract 125.02, Philadelphia County, Pennsylvania",3467.0,1970.0,358.0,0.0,856.0,0.0,0.0,53.0,230.0,79435.0,42,101,012502
91,"Census Tract 131, Philadelphia County, Pennsylvania",1752.0,563.0,970.0,0.0,99.0,0.0,0.0,71.0,49.0,27491.0,42,101,013100
92,"Census Tract 132, Philadelphia County, Pennsylvania",2643.0,835.0,1213.0,33.0,159.0,0.0,18.0,62.0,323.0,35687.0,42,101,013200
93,"Census Tract 133, Philadelphia County, Pennsylvania",3130.0,1701.0,881.0,0.0,236.0,0.0,0.0,139.0,173.0,87784.0,42,101,013300
94,"Census Tract 134.01, Philadelphia County, Pennsylvania",2790.0,2394.0,275.0,0.0,85.0,0.0,0.0,35.0,1.0,101875.0,42,101,013401
95,"Census Tract 134.02, Philadelphia County, Pennsylvania",2887.0,2287.0,148.0,17.0,113.0,0.0,0.0,108.0,214.0,81483.0,42,101,013402
96,"Census Tract 135, Philadelphia County, Pennsylvania",4019.0,2880.0,814.0,0.0,77.0,0.0,0.0,30.0,218.0,107414.0,42,101,013500
97,"Census Tract 136.01, Philadelphia County, Pennsylvania",2864.0,2288.0,158.0,0.0,245.0,0.0,17.0,96.0,60.0,110819.0,42,101,013601
98,"Census Tract 136.02, Philadelphia County, Pennsylvania",4031.0,3069.0,186.0,0.0,197.0,0.0,0.0,453.0,126.0,92212.0,42,101,013602
99,"Census Tract 137.01, Philadelphia County, Pennsylvania",1498.0,563.0,714.0,0.0,104.0,0.0,0.0,55.0,62.0,81300.0,42,101,013701
100,"Census Tract 137.02, Philadelphia County, Pennsylvania",3507.0,876.0,2403.0,0.0,51.0,0.0,0.0,17.0,160.0,27262.0,42,101,013702
101,"Census Tract 138, Philadelphia County, Pennsylvania",1645.0,426.0,988.0,0.0,40.0,36.0,0.0,107.0,48.0,51402.0,42,101,013800
102,"Census Tract 139, Philadelphia County, Pennsylvania",1797.0,473.0,974.0,0.0,0.0,0.0,0.0,74.0,276.0,43792.0,42,101,013900
103,"Census Tract 140, Philadelphia County, Pennsylvania",3869.0,1276.0,1911.0,0.0,153.0,0.0,63.0,188.0,278.0,55595.0,42,101,014000
104,"Census Tract 141, Philadelphia County, Pennsylvania",2674.0,433.0,1832.0,16.0,257.0,0.0,0.0,27.0,109.0,21917.0,42,101,014100
